        f (GHz),            I_inc[1][1] (A),            Re{I[1][1]} (A),            Im{I[1][1]} (A),            Re{I[2][1]} (A),            Im{I[2][1]} (A),            I_inc[2][2] (A),            Re{I[1][2]} (A),            Im{I[1][2]} (A),            Re{I[2][2]} (A),            Im{I[2][2]} (A)
 2.80000000e+02,        +1.414213562373e-01,        +1.948162536080e-01,        -2.404363673154e-02,        +5.361151341686e-02,        +8.977590335792e-02,        +1.414213562373e-01,        +5.361151341686e-02,        +8.977590335792e-02,        +1.945473148602e-01,        -2.457811624287e-02
 2.82000000e+02,        +1.414213562373e-01,        +1.906084796060e-01,        -2.548971921341e-02,        +6.128767766308e-02,        +8.604904298720e-02,        +1.414213562373e-01,        +6.128767766308e-02,        +8.604904298720e-02,        +1.903073483456e-01,        -2.599531318413e-02
 2.84000000e+02,        +1.414213562373e-01,        +1.861267385837e-01,        -2.624856907865e-02,        +6.888313485308e-02,        +8.157263030796e-02,        +1.414213562373e-01,        +6.888313485308e-02,        +8.157263030796e-02,        +1.857968991715e-01,        -2.672126094228e-02
 2.86000000e+02,        +1.414213562373e-01,        +1.814813923294e-01,        -2.625256548679e-02,        +7.630411519488e-02,        +7.629039176733e-02,        +1.414213562373e-01,        +7.630411519488e-02,        +7.629039176733e-02,        +1.811270743828e-01,        -2.668866603268e-02
 2.88000000e+02,        +1.414213562373e-01,        +1.768036439487e-01,        -2.545122915473e-02,        +8.343410909231e-02,        +7.016088278909e-02,        +1.414213562373e-01,        +8.343410909231e-02,        +7.016088278909e-02,        +1.764298252593e-01,        -2.584755342476e-02
 2.90000000e+02,        +1.414213562373e-01,        +1.722432486856e-01,        -2.381849399050e-02,        +9.013617801525e-02,        +6.316517848204e-02,        +1.414213562373e-01,        +9.013617801525e-02,        +6.316517848204e-02,        +1.718556081297e-01,        -2.417255759962e-02
 2.92000000e+02,        +1.414213562373e-01,        +1.679634730305e-01,        -2.135995378969e-02,        +9.625804138482e-02,        +5.531447549089e-02,        +1.414213562373e-01,        +9.625804138482e-02,        +5.531447549089e-02,        +1.675682818801e-01,        -2.167017297570e-02
 2.94000000e+02,        +1.414213562373e-01,        +1.641330669439e-01,        -1.811894826077e-02,        +1.016401631066e-01,        +4.665647524047e-02,        +1.414213562373e-01,        +1.016401631066e-01,        +4.665647524047e-02,        +1.637370123684e-01,        -1.838482182216e-02
 2.96000000e+02,        +1.414213562373e-01,        +1.609155368636e-01,        -1.418015503301e-02,        +1.061265391631e-01,        +3.727922157965e-02,        +1.414213562373e-01,        +1.061265391631e-01,        +3.727922157965e-02,        +1.605254801383e-01,        -1.440240223854e-02
 2.98000000e+02,        +1.414213562373e-01,        +1.584566665642e-01,        -9.669430178743e-03,        +1.095772288108e-01,        +2.731114304324e-02,        +1.414213562373e-01,        +1.095772288108e-01,        +2.731114304324e-02,        +1.580793496375e-01,        -9.850058670793e-03
